_id,name,asset_type,location_id,street_address,city,latitude,longitude
35279750,FINDLAY TWP ACTIVITY CTR 1ST FL,polling_places,1311.0,310 MAIN ST,CORAOPOLIS,40.4502515375934,-80.2452403232955
35279751,FINDLAY TWP MUNICIPAL BLDG,polling_places,1712.0,1271 RT 30,CLINTON,40.4898668007339,-80.2964333234493
35279752,FIRE HALL,polling_places,1402.0,500 LIGGETT AVE,MONONGAHELA,40.1984517362729,-79.8841491604353
35279753,FIRST BAPTIST CHURCH,polling_places,1875.0,159 BELLFIELD AVE,PITTSBURGH,40.4478990800647,-79.9527986088327
35279754,FIRST CH OF THE OPEN BIBLE-1ST FLOOR,polling_places,1777.0,719 UNION AVE,MCKEESPORT,40.3490288571144,-79.8546436877743
35279755,FIRST CHURCH OF CHRIST SCIENTIST ,polling_places,1873.0,"201 N DITHRIDGE ST
201 N DITHRIDGE ST
",PITTSBURGH,40.4490405547646,-79.952276503678
35279756,FIRST EVANG FREE CH-YOUTH CENTER,polling_places,1789.0,4001 UNIVERSITY DR,MCKEESPORT,40.3439705143554,-79.8286398701499
35279757,FIRST UNITARIAN CH. OF PGH.,polling_places,1498.0,605 MOREWOOD AVE,PITTSBURGH,40.4506486904969,-79.9425601758076
35279758,FIRST UNITARIAN CH. OF PGH.,polling_places,1498.0,605 MOREWOOD AVE,PITTSBURGH,40.4506486904969,-79.9425601758076
35279759,FIRST UNITED METHODIST CHURCH,polling_places,1439.0,1406 CORNELL ST,MCKEESPORT,40.346536612572,-79.8580733765753
35279760,FLOREFFE VOLUNTEER FIRE CO.,polling_places,1757.0,1540 STATE ST,JEFFERSON HILLS,40.258561011269,-79.9178864365895
35279761,FORBES QUAD - LOBBY,polling_places,1877.0,230 BOUQUET ST,PITTSBURGH,40.4416502457734,-79.9546615491357
35279762,FOREST AVE ENT NEW BORO BLDG,polling_places,1267.0,456 8TH AVE,HOMESTEAD,40.401167085965,-79.9173409022124
35279763,FOREST GROVE VFD,polling_places,1167.0,2044 EWING RD,CORAOPOLIS,40.483556450805,-80.1387325930453
35279764,FOREST GROVE VFD,polling_places,1167.0,2044 EWING RD,CORAOPOLIS,40.483556450805,-80.1387325930453
35279765,FOREST HILLS PRESBY CHURCH,polling_places,1714.0,1840 ARDMORE BLVD,PITTSBURGH,40.4250238735299,-79.8609777875235
35279766,FOREST HILLS PRESBYTERIAN CHURCH,polling_places,1714.0,1840 ARDMORE BLVD,PITTSBURGH,40.4250238735299,-79.8609777875235
35279767,FOREST HILLS V.F.D.,polling_places,1715.0,2071 ARDMORE BLVD,PITTSBURGH,40.4248991780342,-79.8560524598906
35279768,FOREST HILLS WESTINGHOUSE LODGE,polling_places,1398.0,700 BARCLAY AVE,PITTSBURGH,40.418118893078,-79.8417890368408
35279769,FORT COUCH MIDDLE SCHOOL,polling_places,1252.0,515 FORT COUCH RD,UPPER ST CLAIR,40.3534453004947,-80.0641127381442
35279770,FORT COUCH MIDDLE SCHOOL,polling_places,1252.0,515 FORT COUCH RD,UPPER ST CLAIR,40.3534453004947,-80.0641127381442
35279771,FORT COUCH MIDDLE SCHOOL,polling_places,1252.0,515 FORT COUCH RD,UPPER ST CLAIR,40.3534453004947,-80.0641127381442
35279772,FORT COUCH MIDDLE SCHOOL,polling_places,1252.0,515 FORT COUCH RD,UPPER ST CLAIR,40.3534453004947,-80.0641127381442
35279773,FORT COUCH MIDDLE SCHOOL,polling_places,1252.0,515 FORT COUCH RD,UPPER ST CLAIR,40.3534453004947,-80.0641127381442
35279774,FORWARD SHADY APTS.,polling_places,1565.0,5841 FORWARD AVE,PITTSBURGH,40.4295481720387,-79.9216299928812
35279775,FORWARD TWP MUNICIPAL BLDG,polling_places,1402.0,500 LIGGETT AVE,MONONGAHELA,40.1984517362729,-79.8841491604353
35279776,FORWARD TWP V.F.D.,polling_places,1401.0,9019 ROBERTS HOLLOW RD,ELIZABETH,40.2295423293637,-79.8799543733293
35279777,FORWARD TWP V.F.D.,polling_places,1401.0,9019 ROBERTS HOLLOW RD,ELIZABETH,40.2295423293637,-79.8799543733293
35279778,GLASSPORT COMMUNITY YOUTH CENTER,polling_places,1726.0,701 DELAWARE AVE,GLASSPORT,40.3241314037217,-79.8870923424728
35279779,FOSTER SCHOOL GYM,polling_places,1462.0,700 VERMONT AVE,PITTSBURGH,40.3630411837814,-80.0392748023436
35279780,FOSTER SCHOOL GYM,polling_places,1462.0,700 VERMONT AVE,PITTSBURGH,40.3630411837814,-80.0392748023436
35279781,FOSTER SCHOOL GYM,polling_places,1462.0,700 VERMONT AVE,PITTSBURGH,40.3630411837814,-80.0392748023436
35279782,FOSTER SCHOOL LUNCH ROOM,polling_places,1462.0,700 VERMONT AVE,PITTSBURGH,40.3630411837814,-80.0392748023436
35279783,FOSTER SCHOOL LUNCH ROOM,polling_places,1462.0,700 VERMONT AVE,PITTSBURGH,40.3630411837814,-80.0392748023436
35279784,FOX CHAPEL EPISCOPAL CHURCH,polling_places,1717.0,630 SQUAW RUN RD,PITTSBURGH,40.5269925715877,-79.8931511320149
35279785,FRANCIS MCCLURE SCHOOL ENT G,polling_places,1676.0,500 LONGVUE AVE,MCKEESPORT,40.3500895457021,-79.8079066596734
35279786,FRANKLIN PRK BAPT CH SOCIAL HALL,polling_places,1720.0,2470 NICHOLSON RD,SEWICKLEY,40.5976035390833,-80.0990596057986
35279787,FRAZER #1 V.F.D.,polling_places,1723.0,2020 BAKERSTOWN RD,TARENTUM,40.6301801623303,-79.8015285849743
35279788,FRED GUALTIERI HI RISE,polling_places,1586.0,2125 LOS ANGELES AVE,PITTSBURGH,40.4042217459897,-80.0286196743088
35279789,FRED GUALTIERI HI RISE COMM. RM.,polling_places,1586.0,2125 LOS ANGELES AVE,PITTSBURGH,40.4042217459897,-80.0286196743088
35279790,FREE METHODIST CHURCH,polling_places,1672.0,715 UNIVERSAL RD,PENN HILLS,40.4619101131964,-79.8135885446899
35279791,FREE METHODIST CHURCH,polling_places,1672.0,715 UNIVERSAL RD,PENN HILLS,40.4619101131964,-79.8135885446899
35279792,FREE METHODIST CHURCH,polling_places,1672.0,715 UNIVERSAL RD,PENN HILLS,40.4619101131964,-79.8135885446899
35279793,FREEDOM LIFE CENTER,polling_places,1135.0,268 OLD CLAIRTON RD,PLEASANT HILLS,40.3341694497919,-79.9620376156009
35279794,FRIENDSHIP CHURCH,polling_places,1880.0,181 ROBINSON ST,PITTSBURGH,40.4401151443005,-79.9658082255789
35279795,FRIENDSHIP CHURCH,polling_places,1880.0,181 ROBINSON ST,PITTSBURGH,40.4401151443005,-79.9658082255789
35279796,FRIENDSHIP SCHOOL,polling_places,1502.0,201 GRAHAM ST,PITTSBURGH,40.4622739956479,-79.9354934409001
35279797,FRIENDSHIP SCHOOL,polling_places,1502.0,201 GRAHAM ST,PITTSBURGH,40.4622739956479,-79.9354934409001
35279798,FRONT ENT - MCKELVY SCH CAFE BACK WALL,polling_places,1486.0,2055 BEDFORD AVE,PITTSBURGH,40.4476796513966,-79.9816525526887
